"2026-09-08","學務處","學務處115學年度新生入學健康檢查最後一梯次通知","https://nfu.edu.tw/zh_tw/ann/adm/-34807290_69bb83684eae358392c8629eh"
"2026-09-08","學務處","學務處【課外組公告】《115年社團招生博覽會 尋夢之夜-找的就是你》活動報報","https://nfu.edu.tw/zh_tw/ann/adm/-66687277_69bb83684eae358392c8629eh"
"2026-09-07","學務處","學務處【學生宿舍】115學年度學生宿舍剩餘床位開放申請公告","https://nfu.edu.tw/zh_tw/ann/adm/-68248896_69bb83684eae358392c8629eh"
"2026-09-07","電子計算機中心","電子計算機中心【電算中心 網路組】公務用電子郵件系統「自動轉信」設定及相關決議說明","https://nfu.edu.tw/zh_tw/ann/adm/-%E9%9B%BB%E7%AE%97%E4%B8%AD%E5%BF%83-%E7%B6%B2%E8%B7%AF%E7%B5%84-%E5%85%AC%E5%8B%99%E7%94%A8%E9%9B%BB%E5%AD%90%E9%83%B5%E4%BB%B6%E7%B3%BB%E7%B5%B1-%E8%87%AA%E5%8B%95%E8%BD%89%E4%BF%A1-%E8%A8%AD%E5%AE%9A%E5%8F%8A%E7%9B%B8%E9%97%9C%E6%B1%BA%E8%AD%B0%E8%AA%AA%E6%98%8E-95486666_69897f7f4eae356cc9a50dceh"
"2026-09-07","學務處","學務處【課外組公告】校慶｜46週年校慶活動時間確認與邀請卡海報數量調查通知","https://nfu.edu.tw/zh_tw/ann/adm/-75087653_69bb83684eae358392c8629eh"
"2026-09-07","通識中心","通識中心115-1通識教育講座場次及實施辦法","https://nfu.edu.tw/zh_tw/ann/adm/-56743415_69898d304eae356cc9a511dfh"
"2026-09-05","環保及安全衛生中心","環保及安全衛生中心補課通知~115年碩博士生（含碩在職） 補課通知","https://nfu.edu.tw/zh_tw/ann/adm/%E8%A3%9C%E8%AA%B2%E9%80%9A%E7%9F%A5-115%E5%B9%B4%E7%A2%A9%E5%8D%9A%E5%A3%AB%E7%94%9F%EF%BC%88%E5%90%AB%E7%A2%A9%E5%9C%A8%E8%81%B7%EF%BC%89-%E8%A3%9C%E8%AA%B2%E9%80%9A%E7%9F%A5-42093602_6a38b24b4eae3592cc4eada4h"
"2026-09-04","學務處","學務處【學生宿舍】115學年度進修推廣部四技獨招新生寢室床位公告","https://nfu.edu.tw/zh_tw/ann/adm/-74805945_69bb83684eae358392c8629eh"
"2026-09-04","學務處","學務處115/9/9-10校園捐血活動","https://nfu.edu.tw/zh_tw/ann/adm/-28189781_69bb83684eae358392c8629eh"
"2026-09-03","學務處","學務處【生活公告】教育部圓夢助學網-大專助學手冊","https://nfu.edu.tw/zh_tw/ann/adm/-62636214_69bb83684eae358392c8629eh"
